Date,Close,High,Low,Open,Volume
13/09/21,4189.529785,4210.620117,4174.669922,4174.669922,25543800
14/09/21,4191.669922,4202.439941,4163.950195,4188.350098,26396800
15/09/21,4145.939941,4196.600098,4145.939941,4188.919922,33864000
16/09/21,4169.870117,4190.169922,4151.629883,4151.629883,33372200
17/09/21,4130.839844,4213.72998,4119.27002,4180.279785,69032400
20/09/21,4043.629883,4102.189941,4011.48999,4102.189941,50987600
21/09/21,4097.509766,4106.759766,4049.689941,4049.689941,36490700
22/09/21,4150.189941,4150.189941,4104.430176,4104.430176,32150600
23/09/21,4194.919922,4206.109863,4158.209961,4158.209961,34075700
24/09/21,4158.509766,4188.430176,4149.939941,4188.430176,26615400
27/09/21,4165.47998,4196.069824,4159.600098,4164.629883,38017500
28/09/21,4058.820068,4160.470215,4056.169922,4160.470215,42079300
29/09/21,4080.219971,4108.220215,4070.449951,4070.449951,28452300
30/09/21,4048.080078,4116.350098,4048.080078,4089.159912,39716900
1/10/21,4035.300049,4055.01001,3981.810059,4037.159912,34489200
4/10/21,3996.409912,4037.350098,3993.870117,4026.699951,26074700
5/10/21,4065.429932,4066.639893,4001.419922,4002.610107,43061600
6/10/21,4012.649902,4049.639893,3965.870117,4049.639893,45053800
7/10/21,4098.339844,4099.390137,4037.47998,4037.47998,44367100
8/10/21,4073.290039,4101.959961,4073.290039,4097.120117,30081000
11/10/21,4072.52002,4076.800049,4043.780029,4071.149902,28502200
12/10/21,4055.090088,4063.47998,4019.550049,4058.540039,27490700
13/10/21,4083.280029,4092.72998,4040.310059,4052.47998,30575100
14/10/21,4149.060059,4151.759766,4088.139893,4088.139893,34747300
15/10/21,4182.910156,4186.609863,4159.069824,4160.040039,52844100
18/10/21,4151.399902,4177.72998,4131.410156,4177.72998,32046900
19/10/21,4166.830078,4169.609863,4151.439941,4159.220215,29474200
20/10/21,4172.169922,4178.950195,4143.830078,4164.5,26139300
21/10/21,4155.72998,4166.5,4140.060059,4163.620117,23622000
22/10/21,4188.810059,4203.669922,4158.439941,4158.439941,23223000
25/10/21,4188.310059,4198.970215,4185.140137,4194.839844,25371300
26/10/21,4223.970215,4230.879883,4187.549805,4187.549805,26048800
27/10/21,4220.879883,4226.990234,4205.419922,4220.740234,30330600
28/10/21,4233.870117,4236.200195,4213.169922,4220.740234,29454600
29/10/21,4250.560059,4250.680176,4187.810059,4228.72998,35857400
1/11/21,4280.470215,4291.810059,4256.930176,4256.930176,28152400
2/11/21,4296.220215,4297.450195,4273.100098,4276.720215,24980200
3/11/21,4309.609863,4309.660156,4291.100098,4292.589844,28690300
4/11/21,4333.339844,4340.810059,4314.509766,4314.509766,37958100
5/11/21,4363.040039,4375.040039,4330.140137,4330.140137,31450400
8/11/21,4352.529785,4366.540039,4352.450195,4359.740234,24731400
9/11/21,4344.629883,4364.040039,4337.660156,4346.620117,24140500
10/11/21,4348.819824,4358.459961,4330.290039,4349.799805,26208000
11/11/21,4358,4358.799805,4334.930176,4347.259766,21881800
12/11/21,4370.330078,4372.319824,4352.430176,4357.899902,21906700
15/11/21,4386.189941,4386.189941,4364.52002,4364.52002,22953300
16/11/21,4401.490234,4406.459961,4389.52002,4393.799805,23199400
17/11/21,4400.810059,4409.240234,4399.25,4399.25,21946300
18/11/21,4383.700195,4415.22998,4377.72998,4400.72998,30449200
19/11/21,4356.470215,4401.919922,4333.859863,4385.660156,53668100
